user_id,hour_of_day,historical_open_rate,historical_push_count,days_since_last_open,target_opened,site_web,campaign_type_promo,campaign_type_reminder,device_os_iOS,day_of_week_Mon,day_of_week_Sat,day_of_week_Sun,day_of_week_Thu,day_of_week_Tue,day_of_week_Wed,segment_inactive,segment_new
1,10,0.18,97,28,0,True,False,True,False,False,False,False,False,False,True,False,True
2,16,0.34,98,13,0,False,False,True,False,False,False,False,True,False,False,False,False
3,17,0.56,68,4,1,True,False,True,False,True,False,False,False,False,False,False,False
4,13,0.68,77,28,0,True,False,False,False,False,True,False,False,False,False,True,False
5,16,0.87,74,8,1,True,False,True,False,False,False,False,False,False,True,False,False
6,14,0.76,53,21,1,False,True,False,False,True,False,False,False,False,False,False,False
7,11,0.36,1,26,0,True,False,True,True,False,False,False,False,False,True,False,True
8,15,0.82,11,10,0,True,True,False,True,True,False,False,False,False,False,True,False
9,22,0.97,50,16,1,True,False,True,True,False,False,False,False,False,True,False,False
10,5,0.23,9,26,0,False,False,True,True,False,False,False,True,False,False,False,False
11,1,0.07,38,11,0,True,True,False,True,False,True,False,False,False,False,False,True
12,1,0.43,87,11,0,True,False,True,False,False,False,True,False,False,False,False,True
13,15,0.88,13,23,1,True,False,True,False,False,False,True,False,False,False,False,True
14,1,0.15,5,15,0,True,False,True,False,True,False,False,False,False,False,True,False
15,7,0.89,25,29,1,False,False,False,False,False,False,False,False,False,False,False,True
16,6,0.99,10,0,1,True,True,False,True,False,False,False,True,False,False,True,False
17,0,0.05,5,17,0,False,False,True,True,False,True,False,False,False,False,False,True
18,3,0.5,22,5,1,False,True,False,False,False,False,False,False,False,True,False,False
19,10,0.33,42,4,0,False,True,False,False,True,False,False,False,False,False,True,False
20,19,0.39,89,17,0,True,True,False,True,False,True,False,False,False,False,False,True
21,6,0.45,20,12,0,False,False,True,True,False,False,False,False,True,False,False,True
22,17,0.74,28,5,1,True,False,True,True,False,False,False,True,False,False,False,False
23,3,0.59,21,6,1,False,True,False,False,True,False,False,False,False,False,False,False
24,16,0.96,11,2,1,False,False,False,False,False,False,False,True,False,False,False,False
25,10,0.33,93,10,0,False,True,False,True,True,False,False,False,False,False,False,True
26,10,0.54,69,7,1,False,False,False,True,False,False,True,False,False,False,False,False
27,19,0.81,37,3,1,False,True,False,False,False,False,False,False,True,False,False,False
28,10,0.37,49,9,0,False,True,False,False,False,False,False,False,False,False,True,False
29,14,0.47,69,8,0,False,True,False,False,False,False,False,False,True,False,True,False
30,13,0.68,33,22,0,False,False,True,False,False,False,False,False,False,True,True,False
31,16,0.86,45,12,0,True,False,False,True,False,False,False,True,False,False,False,True
32,1,0.42,8,18,0,True,False,False,True,False,False,False,False,False,False,True,False
33,17,0.53,6,29,0,False,True,False,True,False,False,False,True,False,False,False,True
34,15,0.98,15,14,1,False,False,True,False,False,True,False,False,False,False,False,False
35,11,0.04,15,4,0,False,False,True,False,True,False,False,False,False,False,False,True
36,9,0.45,9,24,0,True,False,False,False,False,False,False,False,False,True,False,True
37,15,0.64,61,12,0,False,False,True,True,False,False,False,False,False,True,False,False
38,2,0.01,56,11,0,True,False,False,True,False,False,False,True,False,False,True,False
39,7,0.6,5,8,1,True,False,False,True,False,False,True,False,False,False,True,False
40,21,0.06,26,23,0,True,False,False,False,False,False,False,False,False,True,True,False
41,21,0.86,87,7,1,True,False,True,False,False,False,False,True,False,False,False,False
42,23,0.81,80,8,1,True,False,False,True,True,False,False,False,False,False,False,True
43,1,0.03,57,20,0,False,False,False,False,True,False,False,False,False,False,False,False
44,21,0.05,35,12,0,False,True,False,True,False,False,False,True,False,False,False,False
45,0,0.75,10,26,1,False,False,False,True,False,False,False,False,True,False,False,False
46,13,0.37,91,28,0,False,False,False,True,False,False,False,False,True,False,False,False
47,3,0.58,80,8,1,False,True,False,True,True,False,False,False,False,False,False,True
48,3,0.27,21,5,0,True,True,False,False,False,False,False,False,False,False,True,False
49,8,0.17,12,28,0,False,False,True,False,False,False,False,False,True,False,True,False
50,2,0.3,9,29,0,False,False,False,False,False,False,False,True,False,False,False,False
51,4,0.25,16,5,0,True,False,True,False,True,False,False,False,False,False,False,True
52,0,0.45,73,10,0,False,False,True,False,False,False,False,False,False,True,False,False
53,21,0.75,93,9,1,True,True,False,False,False,False,False,False,False,True,False,True
54,18,0.55,54,13,0,False,False,True,True,False,False,True,False,False,False,False,False
55,0,0.61,23,27,0,True,False,False,False,False,False,False,False,True,False,True,False
56,9,0.47,39,5,0,False,True,False,False,False,False,False,False,False,False,True,False
57,21,0.32,88,6,1,False,False,False,False,False,True,False,False,False,False,False,False
58,11,0.14,22,8,0,True,False,False,True,False,False,False,False,True,False,True,False
59,9,0.35,55,2,0,True,True,False,False,False,False,False,False,False,False,False,False
60,1,0.67,31,11,0,True,False,False,True,False,False,False,False,True,False,False,True
61,15,0.73,74,15,0,True,True,False,False,False,False,False,False,False,True,False,True
62,7,0.47,47,12,0,True,False,False,False,False,False,False,False,False,False,False,True
63,13,0.64,27,5,1,True,True,False,False,False,False,False,False,False,True,False,True
64,14,0.21,98,12,0,True,False,True,True,False,False,True,False,False,False,False,False
65,15,0.86,48,25,1,True,False,False,True,False,False,False,True,False,False,True,False
66,10,0.87,39,4,1,False,True,False,False,False,False,False,True,False,False,False,True
67,11,0.32,88,3,0,False,False,False,False,True,False,False,False,False,False,True,False
68,1,0.55,21,7,1,True,False,False,False,False,False,False,False,False,True,False,False
69,3,0.61,15,2,1,False,False,False,True,False,False,False,False,False,True,True,False
70,2,0.47,81,1,0,False,True,False,True,False,False,True,False,False,False,True,False
71,8,0.91,45,19,1,False,False,True,False,True,False,False,False,False,False,True,False
72,17,0.74,19,18,1,False,False,True,True,False,False,False,True,False,False,False,False
73,18,0.67,53,6,1,True,False,True,True,False,False,False,True,False,False,False,False
74,6,0.52,89,11,0,False,True,False,True,False,False,False,False,False,False,False,False
75,3,0.08,55,28,0,True,False,True,True,False,False,False,False,False,False,True,False
76,5,0.11,86,3,0,False,True,False,False,False,True,False,False,False,False,False,True
77,18,0.3,49,9,0,False,False,False,False,False,False,True,False,False,False,False,True
78,0,0.21,78,27,0,False,False,False,True,False,False,False,True,False,False,True,False
79,15,0.95,61,8,1,True,False,True,True,False,True,False,False,False,False,False,True
80,10,0.41,60,28,0,False,True,False,True,False,False,False,False,True,False,False,True
81,21,0.88,92,11,0,True,False,False,False,False,False,False,False,False,True,True,False
82,3,0.82,76,10,1,False,True,False,False,False,False,False,False,False,False,False,False
83,17,0.81,91,20,1,True,True,False,True,False,False,False,False,True,False,False,True
84,22,0.22,24,29,0,False,False,False,True,False,False,False,False,False,False,False,False
85,4,0.45,86,18,0,True,True,False,True,True,False,False,False,False,False,False,True
86,21,0.32,39,1,0,True,False,False,True,False,False,False,False,False,True,True,False
87,5,0.97,61,5,1,False,False,False,False,False,True,False,False,False,False,True,False
88,1,0.88,23,29,1,True,False,False,False,False,True,False,False,False,False,False,False
89,11,0.25,72,5,0,False,True,False,False,False,False,False,False,False,False,False,False
90,21,0.31,92,0,0,False,False,False,False,False,False,False,True,False,False,False,False
91,8,0.53,93,6,1,False,True,False,False,False,False,True,False,False,False,False,False
92,19,0.28,79,11,0,False,False,False,False,False,True,False,False,False,False,True,False
93,11,0.82,39,20,0,False,False,False,True,True,False,False,False,False,False,True,False
94,12,0.82,72,22,1,False,False,True,True,True,False,False,False,False,False,True,False
95,21,0.72,92,11,1,False,False,True,False,False,False,False,True,False,False,False,False
96,22,0.69,97,19,0,False,False,True,False,True,False,False,False,False,False,True,False
97,16,0.55,11,20,0,False,True,False,False,False,False,True,False,False,False,True,False
98,4,0.35,42,22,0,False,True,False,True,False,False,False,False,False,True,False,True
99,19,0.84,25,5,1,False,False,False,True,False,False,False,False,False,False,False,True
100,12,0.86,34,13,0,True,False,False,True,True,False,False,False,False,False,False,True
101,12,0.05,22,16,0,True,False,False,True,False,False,False,False,False,True,False,False
102,9,0.4,2,16,0,False,False,False,False,False,False,False,True,False,False,False,False
103,14,0.03,51,17,0,False,True,False,True,False,False,False,False,False,False,True,False
104,14,0.84,16,12,0,False,False,False,False,False,False,False,True,False,False,True,False
105,17,0.18,11,12,0,False,False,False,True,False,False,False,False,False,False,False,False
106,17,0.67,78,26,0,False,False,True,True,False,False,True,False,False,False,False,True
107,1,0.36,96,10,0,False,False,False,True,True,False,False,False,False,False,True,False
108,22,0.82,86,2,1,False,False,False,True,True,False,False,False,False,False,False,True
109,10,0.51,69,16,0,False,False,False,False,False,False,False,False,False,False,True,False
110,12,0.32,87,25,0,True,True,False,False,False,False,False,False,False,True,False,True
111,10,0.32,62,1,0,False,False,True,False,False,False,False,False,False,True,True,False
112,3,0.33,19,29,0,True,False,False,False,False,False,False,False,False,True,False,True
113,14,0.79,29,27,0,False,False,False,False,False,False,False,False,True,False,False,True
114,21,0.71,42,1,1,False,False,True,False,False,True,False,False,False,False,False,False
115,22,0.32,23,6,0,True,False,False,False,False,True,False,False,False,False,True,False
116,10,0.49,60,26,0,False,True,False,True,False,True,False,False,False,False,False,True
117,17,0.08,73,28,0,True,False,False,False,False,False,False,False,False,True,False,False
118,15,0.83,18,27,1,False,True,False,True,True,False,False,False,False,False,True,False
119,9,0.27,95,21,0,False,True,False,False,False,False,True,False,False,False,False,False
120,11,0.89,81,24,1,True,False,False,True,False,False,False,False,True,False,False,True
121,12,0.6,55,9,1,False,False,True,False,False,False,False,False,False,True,True,False
122,8,0.57,18,13,0,True,True,False,True,True,False,False,False,False,False,False,True
123,20,0.16,27,20,0,False,False,True,False,False,False,False,False,True,False,False,True
124,12,0.07,85,18,0,True,False,False,False,True,False,False,False,False,False,False,False
125,5,0.55,1,16,0,True,True,False,False,False,False,False,False,False,False,False,True
126,5,0.47,96,15,0,False,False,False,False,True,False,False,False,False,False,True,False
127,10,0.12,14,16,0,False,False,True,True,False,False,False,False,True,False,False,False
128,18,0.84,59,17,1,True,False,False,False,False,False,False,False,False,True,False,True
129,10,0.42,78,28,0,False,False,False,False,False,True,False,False,False,False,False,True
130,9,0.26,33,26,0,False,True,False,True,False,False,False,False,True,False,False,True
131,22,0.79,36,10,1,False,False,False,False,False,False,False,False,False,True,False,False
132,14,0.91,39,18,1,True,False,False,True,False,False,False,False,False,True,True,False
133,12,0.31,76,10,0,True,False,False,True,False,False,True,False,False,False,False,False
134,22,0.78,45,9,1,True,True,False,False,False,False,False,True,False,False,False,True
135,7,0.65,25,29,1,True,False,True,False,False,False,True,False,False,False,False,False
136,4,0.99,15,13,1,True,False,True,True,False,False,False,False,False,False,False,True
137,1,0.2,20,13,0,True,False,False,False,False,False,False,True,False,False,False,False
138,15,0.96,34,9,1,True,True,False,True,False,True,False,False,False,False,False,True
139,12,0.32,58,20,0,True,False,False,False,False,False,False,False,True,False,False,False
140,18,0.41,60,22,0,True,False,True,False,False,False,False,True,False,False,False,True
141,8,0.36,78,3,0,False,True,False,True,False,True,False,False,False,False,False,True
142,14,0.27,30,9,0,True,False,True,False,False,False,False,False,False,True,False,False
143,5,0.69,13,26,0,False,False,True,False,False,False,False,False,True,False,False,False
144,7,0.59,78,5,1,False,True,False,False,False,False,False,True,False,False,False,True
145,23,0.31,93,21,0,False,True,False,True,True,False,False,False,False,False,True,False
146,13,0.13,90,28,0,True,False,False,False,False,True,False,False,False,False,False,True
147,4,0.32,67,10,0,True,False,False,True,False,True,False,False,False,False,False,True
148,16,0.38,89,17,0,True,False,True,False,False,False,False,False,False,False,True,False
149,21,0.38,91,5,0,True,True,False,True,True,False,False,False,False,False,False,True
150,6,0.36,45,20,0,False,True,False,False,False,False,False,False,True,False,False,False
151,8,0.05,40,14,0,True,False,False,False,False,False,False,True,False,False,False,False
152,15,0.46,80,26,0,True,False,True,True,False,False,False,False,False,True,True,False
153,17,0.84,38,5,1,True,False,True,False,False,False,False,True,False,False,False,True
154,12,0.18,75,19,0,True,False,False,True,False,False,True,False,False,False,False,False
155,17,0.15,93,0,0,True,True,False,False,False,False,False,False,True,False,False,True
156,9,0.47,47,8,1,False,False,False,True,False,False,False,False,True,False,True,False
157,0,0.37,88,13,0,True,False,False,False,False,False,False,False,True,False,False,False
158,20,0.56,29,2,1,False,False,False,True,False,False,False,False,True,False,True,False
159,17,0.95,34,29,1,True,False,False,False,False,False,True,False,False,False,False,True
160,18,0.76,11,0,1,False,True,False,True,False,True,False,False,False,False,False,True
161,1,0.69,20,13,0,True,False,False,True,False,False,False,True,False,False,False,True
162,3,0.42,20,13,0,True,True,False,False,True,False,False,False,False,False,True,False
163,10,0.29,73,3,0,False,False,False,True,False,False,False,False,False,True,False,False
164,2,0.54,56,13,0,False,False,True,True,False,False,False,False,False,True,True,False
165,8,0.89,23,22,1,False,True,False,False,False,False,False,False,False,False,False,False
166,9,0.88,91,3,1,True,False,True,False,False,True,False,False,False,False,False,True
167,1,0.45,88,10,0,False,False,False,False,False,False,False,False,True,False,False,True
168,6,0.25,25,19,0,True,False,False,False,False,False,False,False,True,False,True,False
169,14,0.23,89,8,0,True,False,False,False,False,False,False,False,True,False,False,False
170,18,0.03,33,10,0,False,True,False,False,False,True,False,False,False,False,False,True
171,9,0.84,31,14,1,False,False,True,True,True,False,False,False,False,False,False,True
172,23,0.26,74,5,0,True,True,False,True,False,False,False,False,True,False,True,False
173,19,0.36,79,24,0,True,True,False,True,False,False,False,False,False,False,True,False
174,13,0.81,1,11,1,False,False,False,False,False,False,False,False,False,False,False,False
175,3,0.12,54,27,0,False,False,True,False,True,False,False,False,False,False,False,True
176,10,0.46,16,12,0,False,False,False,True,False,True,False,False,False,False,False,False
177,2,0.12,85,17,0,True,True,False,True,False,False,False,False,True,False,False,False
178,22,0.44,59,22,0,True,False,False,False,False,False,True,False,False,False,False,False
179,16,0.05,66,22,0,True,False,True,True,False,False,False,True,False,False,True,False
180,6,0.52,3,13,0,True,False,False,False,False,False,False,True,False,False,False,False
181,10,0.8,15,23,1,True,False,True,False,False,False,False,False,False,True,False,False
182,17,0.68,32,25,1,True,False,True,True,True,False,False,False,False,False,False,False
183,13,0.51,50,10,0,False,False,False,False,False,False,False,True,False,False,True,False
184,13,0.83,91,24,1,True,True,False,False,False,False,False,False,False,True,True,False
185,5,0.23,99,23,0,True,False,False,False,False,False,False,False,False,False,False,True
186,8,0.83,60,1,1,True,True,False,False,False,False,False,False,False,True,True,False
187,21,0.28,88,18,0,False,True,False,True,False,False,False,False,True,False,True,False
188,2,0.36,8,27,0,True,False,False,False,False,False,False,False,True,False,False,False
189,16,0.13,7,1,0,True,True,False,False,False,False,False,False,False,False,False,True
190,11,0.1,4,16,0,False,True,False,True,True,False,False,False,False,False,True,False
191,3,0.93,94,28,1,True,False,False,False,False,True,False,False,False,False,False,True
192,19,0.19,10,22,0,True,False,False,False,False,False,False,False,True,False,False,False
193,15,0.33,60,7,0,True,False,False,True,False,False,False,False,True,False,True,False
194,23,0.53,25,4,1,True,True,False,True,False,False,False,False,False,True,False,False
195,9,0.35,42,25,0,True,False,True,False,False,False,False,False,False,True,False,False
196,6,0.87,47,28,0,False,True,False,False,False,False,False,False,False,True,False,True
197,9,0.9,96,10,1,False,False,True,True,False,False,False,True,False,False,True,False
198,6,0.33,96,29,0,False,False,False,False,False,False,True,False,False,False,False,True
199,22,0.09,32,24,0,True,False,True,False,False,False,False,False,False,False,False,False
200,17,0.21,74,19,0,True,False,False,False,True,False,False,False,False,False,True,False
201,8,0.47,73,0,1,True,False,False,True,False,False,False,False,False,True,False,False
202,21,0.29,25,19,0,False,False,True,False,True,False,False,False,False,False,False,True
203,17,0.45,89,15,0,True,False,False,True,False,False,True,False,False,False,False,True
204,16,0.76,16,4,1,True,False,True,True,False,False,False,False,False,True,False,False
205,10,0.42,49,26,0,False,False,False,True,False,False,False,False,True,False,False,True
206,0,0.2,16,27,0,True,True,False,True,False,False,True,False,False,False,False,True
207,16,0.36,94,15,0,False,True,False,False,True,False,False,False,False,False,False,False
208,3,0.74,38,23,0,False,False,False,True,False,False,False,True,False,False,True,False
209,3,0.42,5,4,0,False,False,False,False,False,False,False,False,False,True,True,False
210,13,0.25,7,27,0,True,False,True,True,False,True,False,False,False,False,True,False
211,8,0.43,77,9,1,True,True,False,True,False,False,False,False,False,False,False,False
212,12,0.45,8,8,1,True,False,True,False,False,False,False,False,True,False,False,False
213,15,0.3,33,21,0,True,False,False,True,False,False,True,False,False,False,False,True
214,0,1.0,62,29,1,True,False,False,True,False,False,True,False,False,False,True,False
215,2,0.77,74,23,1,True,False,True,False,False,False,False,False,False,True,False,True
216,18,0.69,84,18,0,True,False,False,True,False,False,True,False,False,False,False,False
217,7,0.85,32,28,0,False,True,False,True,True,False,False,False,False,False,True,False
218,17,0.67,93,2,1,True,False,True,True,False,False,False,False,False,True,False,False
219,5,0.79,1,8,1,False,True,False,False,False,False,False,False,True,False,False,True
220,19,0.41,91,21,0,True,True,False,True,False,False,False,False,False,False,False,True
221,5,0.5,20,19,0,True,True,False,False,False,False,False,False,False,False,False,False
222,4,0.05,55,7,0,True,False,True,False,False,False,False,False,False,False,False,False
223,11,0.28,63,3,0,False,False,False,False,False,True,False,False,False,False,True,False
224,8,0.37,78,10,0,False,True,False,True,False,False,False,False,True,False,False,False
225,8,0.63,79,3,1,False,True,False,True,False,True,False,False,False,False,False,True
226,16,0.46,6,11,0,False,True,False,True,False,True,False,False,False,False,False,True
227,18,0.61,52,22,0,True,False,False,True,False,False,True,False,False,False,False,False
228,16,0.71,2,6,1,False,False,False,False,False,False,False,False,False,True,False,False
229,21,0.04,93,27,0,True,False,True,False,False,False,False,False,True,False,True,False
230,15,0.26,39,7,0,True,False,False,True,False,False,False,False,True,False,False,True
231,11,0.17,32,9,0,False,False,True,True,False,False,True,False,False,False,False,True
232,2,0.19,51,22,0,False,False,True,False,False,False,False,False,False,True,False,True
233,13,0.5,69,28,0,False,False,True,True,False,False,False,True,False,False,False,False
234,16,0.74,86,23,0,False,False,True,True,False,True,False,False,False,False,False,True
235,21,0.27,92,12,0,False,False,True,True,False,False,False,False,False,False,False,False
236,15,0.82,32,23,0,False,True,False,True,True,False,False,False,False,False,True,False
237,20,0.89,93,13,1,False,False,False,True,False,True,False,False,False,False,False,False
238,11,0.35,3,15,0,False,True,False,True,True,False,False,False,False,False,True,False
239,23,0.68,62,6,1,True,False,True,False,False,False,False,False,False,True,True,False
240,1,0.12,95,15,0,False,False,False,False,True,False,False,False,False,False,False,False
241,7,0.74,13,16,0,False,True,False,False,False,False,False,True,False,False,True,False
242,11,0.17,70,19,0,True,True,False,False,False,False,False,False,True,False,False,False
243,20,0.69,21,18,0,False,False,True,True,False,False,False,False,False,False,False,True
244,15,0.42,61,11,0,True,True,False,True,True,False,False,False,False,False,False,False
245,7,0.93,14,8,1,True,True,False,False,True,False,False,False,False,False,True,False
246,15,0.46,89,27,0,False,True,False,False,False,False,False,False,False,True,True,False
247,9,0.03,71,25,0,True,True,False,False,False,False,False,False,False,True,False,True
248,19,0.48,22,7,1,True,True,False,False,False,False,True,False,False,False,False,False
249,14,0.8,32,8,1,True,False,True,False,False,False,False,False,True,False,False,True
250,3,0.65,41,4,1,True,False,True,True,False,False,False,False,False,False,True,False
251,14,0.97,32,20,1,False,True,False,True,False,False,True,False,False,False,False,False
252,3,0.84,42,9,1,True,False,True,False,False,False,True,False,False,False,True,False
253,10,0.53,52,4,1,False,False,True,False,True,False,False,False,False,False,False,False
254,5,0.21,94,13,0,True,False,False,True,False,False,False,False,True,False,False,True
255,3,0.0,81,17,0,True,True,False,True,False,False,False,False,False,False,False,True
256,8,0.98,54,28,1,True,False,True,True,False,False,False,False,True,False,True,False
257,8,0.94,62,6,1,True,False,True,False,True,False,False,False,False,False,False,True
258,2,0.27,85,7,0,False,True,False,True,False,False,False,False,False,True,False,True
259,22,0.64,90,4,1,False,False,False,False,False,False,False,False,False,True,True,False
260,4,0.73,43,23,0,True,True,False,False,False,False,False,False,False,True,True,False
261,14,0.58,3,5,1,True,False,False,True,False,False,False,True,False,False,True,False
262,8,0.84,38,19,1,False,True,False,True,False,False,False,False,True,False,False,False
263,1,0.08,81,22,0,True,True,False,True,True,False,False,False,False,False,True,False
264,2,0.9,39,23,1,True,True,False,False,False,False,False,False,True,False,False,False
265,20,0.39,70,8,0,True,True,False,True,False,False,False,False,False,True,True,False
266,11,0.48,85,20,0,False,False,False,True,False,True,False,False,False,False,False,False
267,15,0.44,45,8,0,False,False,False,False,False,True,False,False,False,False,True,False
268,4,0.53,46,7,1,False,False,True,True,False,False,False,False,True,False,False,False
269,9,0.6,13,16,0,True,True,False,True,False,False,False,False,False,False,False,True
270,14,0.71,52,23,0,True,False,False,False,False,True,False,False,False,False,True,False
271,13,0.52,9,7,1,False,False,False,False,False,True,False,False,False,False,True,False
272,13,0.68,57,28,0,False,False,False,False,False,False,False,False,True,False,False,False
273,22,0.34,69,22,0,False,True,False,False,False,False,True,False,False,False,False,True
274,12,0.94,43,0,1,False,False,True,False,False,False,False,True,False,False,False,True
275,15,0.06,7,21,0,True,False,False,True,False,False,False,True,False,False,False,False
276,7,0.55,44,17,0,False,True,False,True,False,False,False,False,False,True,True,False
277,7,0.09,44,14,0,True,False,False,False,True,False,False,False,False,False,False,True
278,16,0.44,95,21,0,False,False,False,True,False,False,True,False,False,False,True,False
279,16,0.26,68,26,0,True,False,True,True,False,False,False,False,False,False,False,False
280,2,0.94,77,15,1,False,False,False,False,False,False,True,False,False,False,True,False
281,0,0.01,44,1,0,False,False,False,False,True,False,False,False,False,False,False,True
282,16,0.39,79,12,0,False,True,False,False,True,False,False,False,False,False,False,False
283,23,0.78,40,1,1,False,True,False,True,False,False,False,False,False,False,False,True
284,15,0.19,77,13,0,True,False,True,False,False,False,False,True,False,False,True,False
285,16,0.82,43,6,1,False,True,False,True,False,False,True,False,False,False,True,False
286,1,0.86,62,10,1,True,True,False,True,False,True,False,False,False,False,False,False
287,13,0.71,43,14,0,True,False,True,True,False,False,False,False,False,True,False,True
288,6,0.21,90,25,0,True,False,False,True,False,False,False,False,True,False,False,True
289,18,0.27,19,16,0,True,False,True,False,False,False,False,True,False,False,False,True
290,0,0.17,49,20,0,False,True,False,True,False,False,False,False,False,True,False,False
