user_id,site,campaign_type,device_os,hour_of_day,day_of_week,historical_open_rate,historical_push_count,days_since_last_open,segment,target_opened
1,web,reminder,Android,10,Wed,0.18,97,28,new,0
2,app,reminder,Android,16,Thu,0.34,98,13,active,0
3,web,reminder,Android,17,Mon,0.56,68,4,active,1
4,web,informative,Android,13,Sat,0.68,77,28,inactive,0
5,web,reminder,Android,16,Wed,0.87,74,8,active,1
6,app,promo,Android,14,Mon,0.76,53,21,active,1
7,web,reminder,iOS,11,Wed,0.36,1,26,new,0
8,web,promo,iOS,15,Mon,0.82,11,10,inactive,0
9,web,reminder,iOS,22,Wed,0.97,50,16,active,1
10,app,reminder,iOS,5,Thu,0.23,9,26,active,0
11,web,promo,iOS,1,Sat,0.07,38,11,new,0
12,web,reminder,Android,1,Sun,0.43,87,11,new,0
13,web,reminder,Android,15,Sun,0.88,13,23,new,1
14,web,reminder,Android,1,Mon,0.15,5,15,inactive,0
15,app,informative,Android,7,Fri,0.89,25,29,new,1
16,web,promo,iOS,6,Thu,0.99,10,0,inactive,1
17,app,reminder,iOS,0,Sat,0.05,5,17,new,0
18,app,promo,Android,3,Wed,0.5,22,5,active,1
19,app,promo,Android,10,Mon,0.33,42,4,inactive,0
20,web,promo,iOS,19,Sat,0.39,89,17,new,0
21,app,reminder,iOS,6,Tue,0.45,20,12,new,0
22,web,reminder,iOS,17,Thu,0.74,28,5,active,1
23,app,promo,Android,3,Mon,0.59,21,6,active,1
24,app,informative,Android,16,Thu,0.96,11,2,active,1
25,app,promo,iOS,10,Mon,0.33,93,10,new,0
26,app,informative,iOS,10,Sun,0.54,69,7,active,1
27,app,promo,Android,19,Tue,0.81,37,3,active,1
28,app,promo,Android,10,Fri,0.37,49,9,inactive,0
29,app,promo,Android,14,Tue,0.47,69,8,inactive,0
30,app,reminder,Android,13,Wed,0.68,33,22,inactive,0
31,web,informative,iOS,16,Thu,0.86,45,12,new,0
32,web,informative,iOS,1,Fri,0.42,8,18,inactive,0
33,app,promo,iOS,17,Thu,0.53,6,29,new,0
34,app,reminder,Android,15,Sat,0.98,15,14,active,1
35,app,reminder,Android,11,Mon,0.04,15,4,new,0
36,web,informative,Android,9,Wed,0.45,9,24,new,0
37,app,reminder,iOS,15,Wed,0.64,61,12,active,0
38,web,informative,iOS,2,Thu,0.01,56,11,inactive,0
39,web,informative,iOS,7,Sun,0.6,5,8,inactive,1
40,web,informative,Android,21,Wed,0.06,26,23,inactive,0
41,web,reminder,Android,21,Thu,0.86,87,7,active,1
42,web,informative,iOS,23,Mon,0.81,80,8,new,1
43,app,informative,Android,1,Mon,0.03,57,20,active,0
44,app,promo,iOS,21,Thu,0.05,35,12,active,0
45,app,informative,iOS,0,Tue,0.75,10,26,active,1
46,app,informative,iOS,13,Tue,0.37,91,28,active,0
47,app,promo,iOS,3,Mon,0.58,80,8,new,1
48,web,promo,Android,3,Fri,0.27,21,5,inactive,0
49,app,reminder,Android,8,Tue,0.17,12,28,inactive,0
50,app,informative,Android,2,Thu,0.3,9,29,active,0
51,web,reminder,Android,4,Mon,0.25,16,5,new,0
52,app,reminder,Android,0,Wed,0.45,73,10,active,0
53,web,promo,Android,21,Wed,0.75,93,9,new,1
54,app,reminder,iOS,18,Sun,0.55,54,13,active,0
55,web,informative,Android,0,Tue,0.61,23,27,inactive,0
56,app,promo,Android,9,Fri,0.47,39,5,inactive,0
57,app,informative,Android,21,Sat,0.32,88,6,active,1
58,web,informative,iOS,11,Tue,0.14,22,8,inactive,0
59,web,promo,Android,9,Fri,0.35,55,2,active,0
60,web,informative,iOS,1,Tue,0.67,31,11,new,0
61,web,promo,Android,15,Wed,0.73,74,15,new,0
62,web,informative,Android,7,Fri,0.47,47,12,new,0
63,web,promo,Android,13,Wed,0.64,27,5,new,1
64,web,reminder,iOS,14,Sun,0.21,98,12,active,0
65,web,informative,iOS,15,Thu,0.86,48,25,inactive,1
66,app,promo,Android,10,Thu,0.87,39,4,new,1
67,app,informative,Android,11,Mon,0.32,88,3,inactive,0
68,web,informative,Android,1,Wed,0.55,21,7,active,1
69,app,informative,iOS,3,Wed,0.61,15,2,inactive,1
70,app,promo,iOS,2,Sun,0.47,81,1,inactive,0
71,app,reminder,Android,8,Mon,0.91,45,19,inactive,1
72,app,reminder,iOS,17,Thu,0.74,19,18,active,1
73,web,reminder,iOS,18,Thu,0.67,53,6,active,1
74,app,promo,iOS,6,Fri,0.52,89,11,active,0
75,web,reminder,iOS,3,Fri,0.08,55,28,inactive,0
76,app,promo,Android,5,Sat,0.11,86,3,new,0
77,app,informative,Android,18,Sun,0.3,49,9,new,0
78,app,informative,iOS,0,Thu,0.21,78,27,inactive,0
79,web,reminder,iOS,15,Sat,0.95,61,8,new,1
80,app,promo,iOS,10,Tue,0.41,60,28,new,0
81,web,informative,Android,21,Wed,0.88,92,11,inactive,0
82,app,promo,Android,3,Fri,0.82,76,10,active,1
83,web,promo,iOS,17,Tue,0.81,91,20,new,1
84,app,informative,iOS,22,Fri,0.22,24,29,active,0
85,web,promo,iOS,4,Mon,0.45,86,18,new,0
86,web,informative,iOS,21,Wed,0.32,39,1,inactive,0
87,app,informative,Android,5,Sat,0.97,61,5,inactive,1
88,web,informative,Android,1,Sat,0.88,23,29,active,1
89,app,promo,Android,11,Fri,0.25,72,5,active,0
90,app,informative,Android,21,Thu,0.31,92,0,active,0
91,app,promo,Android,8,Sun,0.53,93,6,active,1
92,app,informative,Android,19,Sat,0.28,79,11,inactive,0
93,app,informative,iOS,11,Mon,0.82,39,20,inactive,0
94,app,reminder,iOS,12,Mon,0.82,72,22,inactive,1
95,app,reminder,Android,21,Thu,0.72,92,11,active,1
96,app,reminder,Android,22,Mon,0.69,97,19,inactive,0
97,app,promo,Android,16,Sun,0.55,11,20,inactive,0
98,app,promo,iOS,4,Wed,0.35,42,22,new,0
99,app,informative,iOS,19,Fri,0.84,25,5,new,1
100,web,informative,iOS,12,Mon,0.86,34,13,new,0
101,web,informative,iOS,12,Wed,0.05,22,16,active,0
102,app,informative,Android,9,Thu,0.4,2,16,active,0
103,app,promo,iOS,14,Fri,0.03,51,17,inactive,0
104,app,informative,Android,14,Thu,0.84,16,12,inactive,0
105,app,informative,iOS,17,Fri,0.18,11,12,active,0
106,app,reminder,iOS,17,Sun,0.67,78,26,new,0
107,app,informative,iOS,1,Mon,0.36,96,10,inactive,0
108,app,informative,iOS,22,Mon,0.82,86,2,new,1
109,app,informative,Android,10,Fri,0.51,69,16,inactive,0
110,web,promo,Android,12,Wed,0.32,87,25,new,0
111,app,reminder,Android,10,Wed,0.32,62,1,inactive,0
112,web,informative,Android,3,Wed,0.33,19,29,new,0
113,app,informative,Android,14,Tue,0.79,29,27,new,0
114,app,reminder,Android,21,Sat,0.71,42,1,active,1
115,web,informative,Android,22,Sat,0.32,23,6,inactive,0
116,app,promo,iOS,10,Sat,0.49,60,26,new,0
117,web,informative,Android,17,Wed,0.08,73,28,active,0
118,app,promo,iOS,15,Mon,0.83,18,27,inactive,1
119,app,promo,Android,9,Sun,0.27,95,21,active,0
120,web,informative,iOS,11,Tue,0.89,81,24,new,1
121,app,reminder,Android,12,Wed,0.6,55,9,inactive,1
122,web,promo,iOS,8,Mon,0.57,18,13,new,0
123,app,reminder,Android,20,Tue,0.16,27,20,new,0
124,web,informative,Android,12,Mon,0.07,85,18,active,0
125,web,promo,Android,5,Fri,0.55,1,16,new,0
126,app,informative,Android,5,Mon,0.47,96,15,inactive,0
127,app,reminder,iOS,10,Tue,0.12,14,16,active,0
128,web,informative,Android,18,Wed,0.84,59,17,new,1
129,app,informative,Android,10,Sat,0.42,78,28,new,0
130,app,promo,iOS,9,Tue,0.26,33,26,new,0
131,app,informative,Android,22,Wed,0.79,36,10,active,1
132,web,informative,iOS,14,Wed,0.91,39,18,inactive,1
133,web,informative,iOS,12,Sun,0.31,76,10,active,0
134,web,promo,Android,22,Thu,0.78,45,9,new,1
135,web,reminder,Android,7,Sun,0.65,25,29,active,1
136,web,reminder,iOS,4,Fri,0.99,15,13,new,1
137,web,informative,Android,1,Thu,0.2,20,13,active,0
138,web,promo,iOS,15,Sat,0.96,34,9,new,1
139,web,informative,Android,12,Tue,0.32,58,20,active,0
140,web,reminder,Android,18,Thu,0.41,60,22,new,0
141,app,promo,iOS,8,Sat,0.36,78,3,new,0
142,web,reminder,Android,14,Wed,0.27,30,9,active,0
143,app,reminder,Android,5,Tue,0.69,13,26,active,0
144,app,promo,Android,7,Thu,0.59,78,5,new,1
145,app,promo,iOS,23,Mon,0.31,93,21,inactive,0
146,web,informative,Android,13,Sat,0.13,90,28,new,0
147,web,informative,iOS,4,Sat,0.32,67,10,new,0
148,web,reminder,Android,16,Fri,0.38,89,17,inactive,0
149,web,promo,iOS,21,Mon,0.38,91,5,new,0
150,app,promo,Android,6,Tue,0.36,45,20,active,0
151,web,informative,Android,8,Thu,0.05,40,14,active,0
152,web,reminder,iOS,15,Wed,0.46,80,26,inactive,0
153,web,reminder,Android,17,Thu,0.84,38,5,new,1
154,web,informative,iOS,12,Sun,0.18,75,19,active,0
155,web,promo,Android,17,Tue,0.15,93,0,new,0
156,app,informative,iOS,9,Tue,0.47,47,8,inactive,1
157,web,informative,Android,0,Tue,0.37,88,13,active,0
158,app,informative,iOS,20,Tue,0.56,29,2,inactive,1
159,web,informative,Android,17,Sun,0.95,34,29,new,1
160,app,promo,iOS,18,Sat,0.76,11,0,new,1
161,web,informative,iOS,1,Thu,0.69,20,13,new,0
162,web,promo,Android,3,Mon,0.42,20,13,inactive,0
163,app,informative,iOS,10,Wed,0.29,73,3,active,0
164,app,reminder,iOS,2,Wed,0.54,56,13,inactive,0
165,app,promo,Android,8,Fri,0.89,23,22,active,1
166,web,reminder,Android,9,Sat,0.88,91,3,new,1
167,app,informative,Android,1,Tue,0.45,88,10,new,0
168,web,informative,Android,6,Tue,0.25,25,19,inactive,0
169,web,informative,Android,14,Tue,0.23,89,8,active,0
170,app,promo,Android,18,Sat,0.03,33,10,new,0
171,app,reminder,iOS,9,Mon,0.84,31,14,new,1
172,web,promo,iOS,23,Tue,0.26,74,5,inactive,0
173,web,promo,iOS,19,Fri,0.36,79,24,inactive,0
174,app,informative,Android,13,Fri,0.81,1,11,active,1
175,app,reminder,Android,3,Mon,0.12,54,27,new,0
176,app,informative,iOS,10,Sat,0.46,16,12,active,0
177,web,promo,iOS,2,Tue,0.12,85,17,active,0
178,web,informative,Android,22,Sun,0.44,59,22,active,0
179,web,reminder,iOS,16,Thu,0.05,66,22,inactive,0
180,web,informative,Android,6,Thu,0.52,3,13,active,0
181,web,reminder,Android,10,Wed,0.8,15,23,active,1
182,web,reminder,iOS,17,Mon,0.68,32,25,active,1
183,app,informative,Android,13,Thu,0.51,50,10,inactive,0
184,web,promo,Android,13,Wed,0.83,91,24,inactive,1
185,web,informative,Android,5,Fri,0.23,99,23,new,0
186,web,promo,Android,8,Wed,0.83,60,1,inactive,1
187,app,promo,iOS,21,Tue,0.28,88,18,inactive,0
188,web,informative,Android,2,Tue,0.36,8,27,active,0
189,web,promo,Android,16,Fri,0.13,7,1,new,0
190,app,promo,iOS,11,Mon,0.1,4,16,inactive,0
191,web,informative,Android,3,Sat,0.93,94,28,new,1
192,web,informative,Android,19,Tue,0.19,10,22,active,0
193,web,informative,iOS,15,Tue,0.33,60,7,inactive,0
194,web,promo,iOS,23,Wed,0.53,25,4,active,1
195,web,reminder,Android,9,Wed,0.35,42,25,active,0
196,app,promo,Android,6,Wed,0.87,47,28,new,0
197,app,reminder,iOS,9,Thu,0.9,96,10,inactive,1
198,app,informative,Android,6,Sun,0.33,96,29,new,0
199,web,reminder,Android,22,Fri,0.09,32,24,active,0
200,web,informative,Android,17,Mon,0.21,74,19,inactive,0
201,web,informative,iOS,8,Wed,0.47,73,0,active,1
202,app,reminder,Android,21,Mon,0.29,25,19,new,0
203,web,informative,iOS,17,Sun,0.45,89,15,new,0
204,web,reminder,iOS,16,Wed,0.76,16,4,active,1
205,app,informative,iOS,10,Tue,0.42,49,26,new,0
206,web,promo,iOS,0,Sun,0.2,16,27,new,0
207,app,promo,Android,16,Mon,0.36,94,15,active,0
208,app,informative,iOS,3,Thu,0.74,38,23,inactive,0
209,app,informative,Android,3,Wed,0.42,5,4,inactive,0
210,web,reminder,iOS,13,Sat,0.25,7,27,inactive,0
211,web,promo,iOS,8,Fri,0.43,77,9,active,1
212,web,reminder,Android,12,Tue,0.45,8,8,active,1
213,web,informative,iOS,15,Sun,0.3,33,21,new,0
214,web,informative,iOS,0,Sun,1.0,62,29,inactive,1
215,web,reminder,Android,2,Wed,0.77,74,23,new,1
216,web,informative,iOS,18,Sun,0.69,84,18,active,0
217,app,promo,iOS,7,Mon,0.85,32,28,inactive,0
218,web,reminder,iOS,17,Wed,0.67,93,2,active,1
219,app,promo,Android,5,Tue,0.79,1,8,new,1
220,web,promo,iOS,19,Fri,0.41,91,21,new,0
221,web,promo,Android,5,Fri,0.5,20,19,active,0
222,web,reminder,Android,4,Fri,0.05,55,7,active,0
223,app,informative,Android,11,Sat,0.28,63,3,inactive,0
